"table-cell href","table-cell-value","subdomain","table-cell-value 2","table-cell-desc 2"
"https://fragment.com/username/news","@news","news","994,000","18 Nov 2022 at 14:46"
"https://fragment.com/username/auto","@auto","auto","900,000","2 Nov 2022 at 21:43"
"https://fragment.com/username/bank","@bank","bank","850,000","3 Nov 2022 at 01:08"
"https://fragment.com/username/avia","@avia","avia","800,000","3 Nov 2022 at 08:39"
"https://fragment.com/username/chat","@chat","chat","700,000","3 Nov 2022 at 10:37"
"https://fragment.com/username/king","@king","king","675,000","18 Nov 2022 at 02:14"
"https://fragment.com/username/fifa","@fifa","fifa","600,000","2 Nov 2022 at 22:51"
"https://fragment.com/username/devil","@devil","devil","555,555","28 Oct 2025 at 05:21"
"https://fragment.com/username/game","@game","game","500,000","4 Nov 2022 at 13:20"
"https://fragment.com/username/sber","@sber","sber","471,000","5 Dec 2022 at 20:54"
"https://fragment.com/username/meta","@meta","meta","404,000","18 Nov 2022 at 12:49"
"https://fragment.com/username/casino","@casino","casino","400,000","2 Nov 2022 at 22:50"
"https://fragment.com/username/doge","@doge","doge","350,000","9 Nov 2022 at 15:51"
"https://fragment.com/username/hotels","@hotels","hotels","350,000","4 Nov 2022 at 01:06"
"https://fragment.com/username/pizza","@pizza","pizza","346,000","19 Nov 2022 at 00:53"
"https://fragment.com/username/nike","@nike","nike","330,000","18 Nov 2022 at 01:35"
"https://fragment.com/username/gram","@gram","gram","313,000","20 Nov 2022 at 00:54"
"https://fragment.com/username/play","@play","play","302,000","30 Nov 2022 at 18:08"
"https://fragment.com/username/alfa","@alfa","alfa","300,000","10 Nov 2022 at 13:32"
"https://fragment.com/username/coin","@coin","coin","300,000","11 Dec 2022 at 02:49"
"https://fragment.com/username/cash","@cash","cash","284,000","6 Nov 2022 at 02:03"
"https://fragment.com/username/rich","@rich","rich","266,000","12 Dec 2022 at 04:42"
"https://fragment.com/username/checkout","@checkout","checkout","265,000","25 Nov 2022 at 21:38"
"https://fragment.com/username/amazon","@amazon","amazon","262,500","2 Nov 2022 at 23:00"
"https://fragment.com/username/ecom","@ecom","ecom","258,000","13 Dec 2022 at 07:01"
"https://fragment.com/username/adidas","@adidas","adidas","250,000","2 Nov 2022 at 23:11"
"https://fragment.com/username/cryptoholder","@cryptoholder","cryptoholder","250,000","4 Mar 2025 at 03:32"
"https://fragment.com/username/defi","@defi","defi","250,000","19 Nov 2022 at 03:53"
"https://fragment.com/username/trade","@trade","trade","245,000","2 Mar 2024 at 14:36"
"https://fragment.com/username/chief","@chief","chief","242,000","10 Dec 2022 at 03:55"
"https://fragment.com/username/trip","@trip","trip","237,000","14 Dec 2022 at 14:51"
"https://fragment.com/username/web3","@web3","web3","224,000","17 Dec 2022 at 02:53"
"https://fragment.com/username/payment","@payment","payment","207,000","6 Dec 2022 at 04:55"
"https://fragment.com/username/fund","@fund","fund","206,000","6 Nov 2022 at 19:56"
"https://fragment.com/username/interior","@interior","interior","203,000","24 Nov 2022 at 00:59"
"https://fragment.com/username/love","@love","love","200,000","19 Nov 2022 at 23:16"
"https://fragment.com/username/meet","@meet","meet","200,000","12 Dec 2022 at 04:38"
"https://fragment.com/username/secret","@secret","secret","200,000","7 Dec 2022 at 23:41"
"https://fragment.com/username/connect","@connect","connect","199,000","26 Nov 2022 at 13:52"
"https://fragment.com/username/adviser","@adviser","adviser","189,000","20 Dec 2022 at 12:44"
"https://fragment.com/username/promo","@promo","promo","187,000","24 Nov 2022 at 13:54"
"https://fragment.com/username/tiger","@tiger","tiger","185,000","17 Dec 2022 at 23:00"
"https://fragment.com/username/baseball","@baseball","baseball","179,000","26 Nov 2022 at 00:05"
"https://fragment.com/username/mancity","@mancity","mancity","175,000","24 Nov 2022 at 03:41"
"https://fragment.com/username/usdt","@usdt","usdt","174,000","5 Dec 2022 at 20:56"
"https://fragment.com/username/chef","@chef","chef","171,000","24 Nov 2022 at 14:16"
"https://fragment.com/username/forecast","@forecast","forecast","170,000","19 Nov 2022 at 00:18"
"https://fragment.com/username/investor","@investor","investor","170,000","27 Nov 2022 at 21:16"
"https://fragment.com/username/travels","@travels","travels","170,000","8 Dec 2022 at 00:44"
